zone_id,model,gp_id,x_m,z_m,disp_x_m,disp_z_m,stress_xx_Pa,stress_zz_Pa,stress_xz_Pa,state
1317,softening-ubiquitous,2585,2.452752372,110.7435806,-0.08199261246,0.2248465198,-5026497.735,-4415959.214,-616276.5466,0
1317,softening-ubiquitous,2689,2.587396288,115.3214738,-0.09223633878,0.225066461,-5026497.735,-4415959.214,-616276.5466,0
1318,softening-ubiquitous,2585,2.452752372,110.7435806,-0.08199261246,0.2248465198,-5092783.163,-4417761.271,-612878.2132,0
1318,softening-ubiquitous,2689,2.587396288,115.3214738,-0.09223633878,0.225066461,-5092783.163,-4417761.271,-612878.2132,0
1318,softening-ubiquitous,2587,0,110.7435806,-0.08201332305,0.2190223538,-5092783.163,-4417761.271,-612878.2132,0
1318,softening-ubiquitous,2691,0,115.3214738,-0.0924656982,0.2189432342,-5092783.163,-4417761.271,-612878.2132,0
1319,softening-ubiquitous,2587,0,110.7435806,-0.08201332305,0.2190223538,-5166680.116,-4416337.305,-613647.935,0
1319,softening-ubiquitous,2691,0,115.3214738,-0.0924656982,0.2189432342,-5166680.116,-4416337.305,-613647.935,0
1319,softening-ubiquitous,2589,-2.452752372,110.7435806,-0.08201677382,0.2130954158,-5166680.116,-4416337.305,-613647.935,0
1319,softening-ubiquitous,2693,-2.587396288,115.3214738,-0.09266326584,0.2127091966,-5166680.116,-4416337.305,-613647.935,0
1320,softening-ubiquitous,2589,-2.452752372,110.7435806,-0.08201677382,0.2130954158,-5245336.089,-4411446.144,-616618.0308,0
1320,softening-ubiquitous,2693,-2.587396288,115.3214738,-0.09266326584,0.2127091966,-5245336.089,-4411446.144,-616618.0308,0
1320,softening-ubiquitous,2591,-4.905504744,110.7435806,-0.08200077521,0.2070735983,-5245336.089,-4411446.144,-616618.0308,0
1320,softening-ubiquitous,2695,-5.174792575,115.3214738,-0.09282701771,0.2063733212,-5245336.089,-4411446.144,-616618.0308,0
1321,softening-ubiquitous,2591,-4.905504744,110.7435806,-0.08200077521,0.2070735983,-5327873.847,-4403300.165,-621374.6745,0
1321,softening-ubiquitous,2695,-5.174792575,115.3214738,-0.09282701771,0.2063733212,-5327873.847,-4403300.165,-621374.6745,0
1321,softening-ubiquitous,2593,-7.358257116,110.7435806,-0.08196364463,0.2009643649,-5327873.847,-4403300.165,-621374.6745,0
1321,softening-ubiquitous,2697,-7.762188863,115.3214738,-0.09295537836,0.1999438359,-5327873.847,-4403300.165,-621374.6745,0
1322,softening-ubiquitous,2593,-7.358257116,110.7435806,-0.08196364463,0.2009643649,-5419742.525,-4400270.592,-622001.8485,0
1322,softening-ubiquitous,2697,-7.762188863,115.3214738,-0.09295537836,0.1999438359,-5419742.525,-4400270.592,-622001.8485,0
1322,softening-ubiquitous,2595,-9.811009487,110.7435806,-0.08190670818,0.1947753417,-5419742.525,-4400270.592,-622001.8485,0
1322,softening-ubiquitous,2699,-10.34958515,115.3214738,-0.09304209717,0.193421416,-5419742.525,-4400270.592,-622001.8485,0
1323,softening-ubiquitous,2595,-9.811009487,110.7435806,-0.08190670818,0.1947753417,-5653135.556,-4395277.272,-667409.1083,0
1323,softening-ubiquitous,2699,-10.34958515,115.3214738,-0.09304209717,0.193421416,-5653135.556,-4395277.272,-667409.1083,0
1323,softening-ubiquitous,2597,-22.32625102,110.6727032,-0.08114361744,0.1624052416,-5653135.556,-4395277.272,-667409.1083,0
1323,softening-ubiquitous,2701,-23.56228634,115.2856498,-0.09289838868,0.1592958911,-5653135.556,-4395277.272,-667409.1083,0
1324,softening-ubiquitous,2597,-22.32625102,110.6727032,-0.08114361744,0.1624052416,-6010959.111,-4407516.259,-840998.4564,0
1324,softening-ubiquitous,2701,-23.56228634,115.2856498,-0.09289838868,0.1592958911,-6010959.111,-4407516.259,-840998.4564,0
1324,softening-ubiquitous,2599,-47.98641038,110.4649009,-0.07846323025,0.0941898436,-6010959.111,-4407516.259,-840998.4564,0
